,network_path,image_id,original_label,tmp_path,epsilon_value,smallest_sat_value,total_time,verifier
204,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,208,2,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_208,0.05,0.05,0.0119185447692871,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
205,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,209,9,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_209,0.05,0.05,0.0106360912322998,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
206,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,210,4,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_210,0.0,0.05,0.0106148719787597,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
207,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,211,5,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_211,0.0,0.05,0.0106973648071289,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
208,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,212,9,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_212,0.05,0.05,0.011207103729248,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
209,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,213,3,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_213,0.05,0.05,0.0105297565460205,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
210,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,214,9,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_214,0.05,0.05,0.0109245777130126,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
211,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,215,0,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_215,0.05,0.05,0.0107464790344238,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
212,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,216,3,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_216,0.05,0.05,0.0106596946716308,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
213,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,217,6,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_217,0.0,0.05,0.0110418796539306,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
214,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,218,5,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_218,0.0,0.05,0.0107505321502685,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
215,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,219,5,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_219,0.05,0.05,0.0104427337646484,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
216,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,220,7,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_220,0.05,0.05,0.0107069015502929,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
217,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,221,2,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_221,0.05,0.05,0.0113914012908935,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
218,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,222,2,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_222,0.05,0.05,0.0104520320892333,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
219,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,223,7,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_223,0.05,0.05,0.0112242698669433,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
220,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,224,1,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_224,0.05,0.05,0.0110769271850585,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
221,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,225,2,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_225,0.0,0.05,0.0112640857696533,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
222,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,226,8,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_226,0.05,0.05,0.0112218856811523,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
223,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,227,4,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_227,0.05,0.05,0.0104825496673583,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
224,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,228,1,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_228,0.05,0.05,0.0108458995819091,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
225,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,229,7,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_229,0.0,0.05,0.0107696056365966,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
226,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,230,3,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_230,0.05,0.05,0.0105354785919189,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
227,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,231,3,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_231,0.05,0.05,0.0113255977630615,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
228,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,232,8,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_232,0.0,0.05,0.0107975006103515,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
229,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,233,8,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_233,0.0,0.05,0.0156450271606445,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
230,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,234,7,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_234,0.0,0.05,0.0106124877929687,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
231,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,235,9,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_235,0.05,0.05,0.01094651222229,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
232,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,236,2,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_236,0.05,0.05,0.0107417106628417,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
233,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,237,2,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_237,0.05,0.05,0.0106120109558105,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
234,/gpfs/work2/0/prjs1681/models/testing/mnist-net_256x4.onnx,238,4,/gpfs/home2/jvrijn/code/hiwi_code/henba1_VERONA/VERONA/src/ada_verona/robustness_experiment_box/experiment/PGDattack_28-08-2025+18_57/tmp/mnist-net_256x4/image_238,0.05,0.05,0.012714862823486328,"AttackEstimationModule (PGDAttack (iterations=10, step_size=0.01, randomise=False))"
